collection_id,check,score,error,hint
SENTINEL1_L1_SLC,validate_search_response_has_request_search_query,0,Section 6 of the OpenSearch specification: The OpenSearch Query element can be used to define a specific search request that can be performed by a search client. Missing the OpenSearch Query element in ATOM search response to OSDD example query for osdd: https://catalogue.nextgeoss.eu/opensearch/description.xml?osdd=SENTINEL1_L1_SLC,Sample OSDD query is: https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL1_L1_SLC&
SENTINEL1_L1_SLC,validate_response_schema_compliance,0,"-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""], ""http://www.w3.org/2005/Atom"":entry}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.",<span>See the </span> <a class='dialog' target='_blank' href='https://tools.oasis-open.org/version-control/browse/wsvn/cmis/trunk/SchemaProject/schema/ATOM.xsd'>OASIS ATOM.xsd schema</a> <span>for required ATOM response contents and the order in which they should appear in a valid OpenSearch ATOM response.</span> - schema validation applied against results of sample OSDD query: https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL1_L1_SLC&
SENTINEL1_L1_GRD,validate_search_response_has_request_search_query,0,Section 6 of the OpenSearch specification: The OpenSearch Query element can be used to define a specific search request that can be performed by a search client. Missing the OpenSearch Query element in ATOM search response to OSDD example query for osdd: https://catalogue.nextgeoss.eu/opensearch/description.xml?osdd=SENTINEL1_L1_GRD,Sample OSDD query is: https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL1_L1_GRD&
SENTINEL1_L1_GRD,validate_response_schema_compliance,0,"-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""], ""http://www.w3.org/2005/Atom"":entry}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.",<span>See the </span> <a class='dialog' target='_blank' href='https://tools.oasis-open.org/version-control/browse/wsvn/cmis/trunk/SchemaProject/schema/ATOM.xsd'>OASIS ATOM.xsd schema</a> <span>for required ATOM response contents and the order in which they should appear in a valid OpenSearch ATOM response.</span> - schema validation applied against results of sample OSDD query: https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL1_L1_GRD&
SENTINEL1_L2_OCN,validate_search_response_has_request_search_query,0,Section 6 of the OpenSearch specification: The OpenSearch Query element can be used to define a specific search request that can be performed by a search client. Missing the OpenSearch Query element in ATOM search response to OSDD example query for osdd: https://catalogue.nextgeoss.eu/opensearch/description.xml?osdd=SENTINEL1_L2_OCN,Sample OSDD query is: https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL1_L2_OCN&
SENTINEL1_L2_OCN,validate_response_schema_compliance,0,"-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""], ""http://www.w3.org/2005/Atom"":entry}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.",<span>See the </span> <a class='dialog' target='_blank' href='https://tools.oasis-open.org/version-control/browse/wsvn/cmis/trunk/SchemaProject/schema/ATOM.xsd'>OASIS ATOM.xsd schema</a> <span>for required ATOM response contents and the order in which they should appear in a valid OpenSearch ATOM response.</span> - schema validation applied against results of sample OSDD query: https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL1_L2_OCN&
SENTINEL2_L1C,validate_search_response_has_request_search_query,0,Section 6 of the OpenSearch specification: The OpenSearch Query element can be used to define a specific search request that can be performed by a search client. Missing the OpenSearch Query element in ATOM search response to OSDD example query for osdd: https://catalogue.nextgeoss.eu/opensearch/description.xml?osdd=SENTINEL2_L1C,Sample OSDD query is: https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL2_L1C&
SENTINEL2_L1C,validate_response_schema_compliance,0,"-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""], ""http://www.w3.org/2005/Atom"":entry}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.",<span>See the </span> <a class='dialog' target='_blank' href='https://tools.oasis-open.org/version-control/browse/wsvn/cmis/trunk/SchemaProject/schema/ATOM.xsd'>OASIS ATOM.xsd schema</a> <span>for required ATOM response contents and the order in which they should appear in a valid OpenSearch ATOM response.</span> - schema validation applied against results of sample OSDD query: https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL2_L1C&
SENTINEL2_L2A,validate_search_response_has_request_search_query,0,Section 6 of the OpenSearch specification: The OpenSearch Query element can be used to define a specific search request that can be performed by a search client. Missing the OpenSearch Query element in ATOM search response to OSDD example query for osdd: https://catalogue.nextgeoss.eu/opensearch/description.xml?osdd=SENTINEL2_L2A,Sample OSDD query is: https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL2_L2A&
SENTINEL2_L2A,validate_response_schema_compliance,0,"-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""], ""http://www.w3.org/2005/Atom"":entry}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.\n-1:-1: ERROR: cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.w3.org/2005/Atom"":link}'. One of '{WC[##other:""http://www.w3.org/2005/Atom""], WC[""""]}' is expected.",<span>See the </span> <a class='dialog' target='_blank' href='https://tools.oasis-open.org/version-control/browse/wsvn/cmis/trunk/SchemaProject/schema/ATOM.xsd'>OASIS ATOM.xsd schema</a> <span>for required ATOM response contents and the order in which they should appear in a valid OpenSearch ATOM response.</span> - schema validation applied against results of sample OSDD query: https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL2_L2A&
